actor_logprob,actor_loss,alpha_loss,alpha_value,batch_reward,bc_actor_loss,critic_loss,critic_q1,critic_q2,critic_target_q,disc_s,disc_s_acc,disc_s_stk,disc_s_stk_acc,discriminator_acc,discriminator_loss,episode,episode_length,episode_reward,forward_buffer_size,fps,frame,latest_r,original_reward,step,success_avg,total_time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047331262807377,0.7712606523857742,2.0,500.0,361.60974123917356,201000.0,15.503119645476966,1000,0.0,0.0,1000.0,0.0,32.25157403945923
1.020575692567043,-1638.794201171875,0.0,1.0,12.294139644622803,0.0,212502.322625,1592.6331494140625,1593.083801513672,106433.65192578125,0.004466567361028865,0.0,0.0,0.0,0.94977734375,0.6498504164218902,3.0,500.0,310.77599406285975,201500.0,34.11432448081705,1500,0.6251876334547997,7.7041711320877075,1500.0,0.0,46.90817475318909
3.8233974318504336,-1773.4923706054688,0.0,1.0,12.791332845687867,0.0,50390.064265625,1734.451302001953,1734.6152587890624,24950.21950390625,0.0024153152524959295,0.0,0.0,0.0,0.99994140625,0.6003657264709472,4.0,500.0,181.9541919421915,202000.0,34.386714841525794,2000,0.3739001653492451,7.685521475791931,2000.0,0.0,61.44867420196533
3.285048143386841,-1793.7212290039063,0.0,1.0,13.623733320236205,0.0,27305.0314296875,1788.0254506835938,1788.0097182617187,13625.662647460938,0.0017433737389510498,0.0,0.0,0.0,0.9998984375,0.5837600963115692,5.0,500.0,105.29275109270603,202500.0,34.02898387521144,2500,0.2123051356971264,7.687523320198059,2500.0,0.0,76.1420316696167
2.3090234212875367,-1799.4527019042969,0.0,1.0,14.423842985153199,0.0,21525.96719140625,1796.9973894042969,1797.0495263671876,10689.849727539062,0.0020966357244178654,0.0,0.0,0.0,0.99999609375,0.5728249762058258,6.0,500.0,87.67566567190045,203000.0,34.16423739944578,3000,0.1780307824909687,7.6689400358200075,3000.0,0.0,90.77721905708313
1.9799082305431366,-1819.8938403320312,0.0,1.0,15.129219608306885,0.0,18893.039474609373,1815.6074951171875,1815.5119645996094,9335.195856933593,0.00041848728498735,0.0,0.0,0.0,1.0,0.5779836267232895,7.0,500.0,93.94468251628908,203500.0,32.701318944922654,3500,0.18766018918156624,7.641967681884766,3500.0,0.0,106.06712293624878
2.0303404667377474,-1841.3905056152344,0.0,1.0,15.804423763275146,0.0,17678.445935546875,1837.609211669922,1837.5629223632814,8798.524938964843,4.59983721957542e-05,0.0,0.0,0.0,1.0,0.5873996535539627,8.0,500.0,134.67868275318753,204000.0,34.45610923658124,4000,0.26996135732531545,7.62024405670166,4000.0,0.0,120.57833790779114
1.9264576902389527,-1865.113160888672,0.0,1.0,16.37505224609375,0.0,17238.306974609375,1862.0123974609376,1861.995108154297,8578.33744140625,3.6236377615750826e-05,0.0,0.0,0.0,1.0,0.5769440125226974,9.0,500.0,88.61247483877514,204500.0,34.733648825166895,4500,0.17567531859874724,7.61334294128418,4500.0,0.0,134.97360134124756
1.6181438454389572,-1883.0858891601563,0.0,1.0,16.80973003768921,0.0,17145.3327109375,1881.7120341796874,1881.7090920410155,8553.020262207032,3.5953686046923393e-06,0.0,0.0,0.0,1.0,0.5905509114265441,10.0,500.0,276.0012994598135,205000.0,34.649119654796195,5000,0.5431360008120537,7.591136814117432,5000.0,0.0,149.4039831161499
1.2543066499829292,-1902.683173095703,0.0,1.0,17.22849728012085,0.0,16969.46992578125,1901.6092062988282,1901.6162509765625,8450.8890546875,1.0802628156397987e-05,0.0,0.0,0.0,1.0,0.6099236953258514,11.0,500.0,263.9816313633198,205500.0,35.08317312983646,5500,0.539680044606328,7.566200385093689,5500.0,0.0,163.65583038330078
0.861708827495575,-1922.1698610839844,0.0,1.0,17.431447372436523,0.0,16703.252033203124,1921.6312844238282,1921.6226237792969,8341.82990283203,0.00025037728299503217,0.0,0.0,0.0,1.0,0.5640697079896927,12.0,500.0,33.41133842639537,206000.0,32.659825554665204,6000,0.06789566598832607,7.554195105552673,6000.0,0.0,178.9651596546173
0.7341740748435259,-1942.4221538085937,0.0,1.0,17.585625637054445,0.0,17115.227897460936,1941.6807377929688,1941.6692758789063,8504.245218017579,2.9802564584315406e-05,0.0,0.0,0.0,1.0,0.5650459144115448,13.0,500.0,32.92968189037177,206500.0,33.55317147445405,6500,0.06569150285422802,7.537971760749817,6500.0,0.0,193.86688137054443
1.0421771434545517,-1965.880903564453,0.0,1.0,17.817252700805664,0.0,17162.170915039063,1964.0344465332032,1964.0479138183593,8555.041872314454,5.427430860891036e-06,0.0,0.0,0.0,1.0,0.5723525648117065,14.0,500.0,39.824908290102236,207000.0,34.42088498068278,7000,0.07898609633743763,7.508227728843689,7000.0,0.0,208.3929464817047
0.8351799054592848,-1984.6499067382813,0.0,1.0,17.950026107788087,0.0,17593.96465576172,1983.9749291992186,1983.9426958007812,8778.742104248047,2.27574115592688e-06,0.0,0.0,0.0,1.0,0.5833792077302933,15.0,500.0,45.129366649450375,207500.0,35.671184638206185,7500,0.09084508037567139,7.499074091911316,7500.0,0.0,222.40986323356628
0.5139163389247842,-2005.1296547851562,0.0,1.0,17.98168925476074,0.0,17512.48055859375,2004.4127026367187,2004.4128049316407,8754.570679931641,1.5288542729194888e-06,0.0,0.0,0.0,1.0,0.5898834657669068,16.0,500.0,38.59063821672418,208000.0,35.45536246566684,8000,0.07720044755935669,7.4564917287826535,8000.0,0.0,236.5121030807495
